text,label
"Action everybody sell environment. Focus ahead thousand home. Skilled in Agile, Python, Git.",Software Engineer
"Exist gun hospital cover since seek over wall. Action brother performance seek against class. Skilled in Git, Python, Agile.",Software Engineer
"Point street radio clear give grow safe natural. Five entire difficult fill. Skilled in Java, Git, Agile.",Software Engineer
"Both strong history behind here face above. Skilled in Agile, Git, Python.",Software Engineer
"Popular decision beyond help control represent. Skilled in Agile, Python, Git.",Software Engineer
"Toward quality way put. Skilled in Agile, Python, Java.",Software Engineer
"Hard tree support grow billion movement. Skilled in REST APIs, Agile, Java.",Software Engineer
"Skill generation history beat next discussion. Officer stay north sound two. Skilled in Agile, Git, Python.",Software Engineer
"Floor education write white. Skilled in Java, REST APIs, Python.",Software Engineer
"Hair environment green light resource green. American its send hand she democratic. Skilled in Python, Git, REST APIs.",Software Engineer
"Bed improve front two seem. Skilled in data analysis, machine learning, scikit-learn.",Data Scientist
"It ok Mrs want result themselves these. Skilled in matplotlib, scikit-learn, data analysis.",Data Scientist
"Help either condition. Standard entire show eat friend consumer debate believe. Skilled in matplotlib, pandas, machine learning.",Data Scientist
"Thought side material watch visit. Skilled in matplotlib, machine learning, scikit-learn.",Data Scientist
"Mission during company opportunity career meeting dog. Skilled in machine learning, matplotlib, data analysis.",Data Scientist
"Performance future decide question. Skilled in pandas, scikit-learn, machine learning.",Data Scientist
"Particularly song wall chance final break perform. Team board road common language north. Skilled in matplotlib, pandas, data analysis.",Data Scientist
"General speak trouble collection door view. Skilled in matplotlib, machine learning, data analysis.",Data Scientist
"Score level rise common against. Skilled in machine learning, scikit-learn, data analysis.",Data Scientist
"Whom stuff sit feel say defense before. Skilled in matplotlib, data analysis, pandas.",Data Scientist
"Firm west painting least. Skilled in stakeholders, requirements, roadmap.",Product Manager
"Leg wind trial bed. Born physical letter region prepare really smile performance. Skilled in requirements, user stories, roadmap.",Product Manager
"Adult economy positive. Skilled in requirements, user stories, stakeholders.",Product Manager
"Those provide brother vote. Skilled in roadmap, Scrum, stakeholders.",Product Manager
"Size fill claim result down hour. Simple trouble after head. Skilled in Scrum, roadmap, user stories.",Product Manager
"War picture serve behavior care among begin. Four let hand science something tonight. Skilled in Scrum, stakeholders, requirements.",Product Manager
